DNI,nombre,partido,departamento,cargo,id_candidato,fuente,p_idx,c_idx,motivo,detalle,timestamp,status
,FLOR DE MARIA DE LOS MILAGROS POLO DIAZ,PARTIDO DEMOCRATICO SOMOS PERU,LIMA METROPOLITANA,Diputados,DIP_LIMA METROPOLITANA_19_010,https://votoinformado.jne.gob.pe/diputados,19,10,partido_no_encontrado,,2026-03-08 0:02,añadido en candidatos
,JOSE ROBERTO SU RIVADENEYRA,PARTIDO DEMOCRATICO SOMOS PERU,LIMA METROPOLITANA,Diputados,DIP_LIMA METROPOLITANA_19_011,https://votoinformado.jne.gob.pe/diputados,19,11,partido_no_encontrado,,2026-03-08 0:02,añadido en candidatos
,YVAN FERRER ESPINOZA,PARTIDO PATRIOTICO DEL PERU,LIMA METROPOLITANA,Diputados,DIP_LIMA METROPOLITANA_23_025,https://votoinformado.jne.gob.pe/diputados,23,25,partido_no_encontrado,,2026-03-08 0:25,añadido en candidatos
,CLAUDIA FERNANDA CARNERO ORBEGOSO,PARTIDO PATRIOTICO DEL PERU,LIMA METROPOLITANA,Diputados,DIP_LIMA METROPOLITANA_23_026,https://votoinformado.jne.gob.pe/diputados,23,26,partido_no_encontrado,,2026-03-08 0:26,añadido en candidatos
,,SALVEMOS AL PERU,,Segundo Vicepresidente,PRES_34_3,https://votoinformado.jne.gob.pe/presidente-vicepresidentes,34,3,ficha_no_abre,,2026-03-08 10:31,ficha no existe. Renunció a su candidatura
